SpeciesID	Domain	Phylum	Class	Order	Family	Genus
OTU1	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
OTU2	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Unclassified_Thermoplasmatales	Unclassified_Thermoplasmatales
OTU3	Archaea	Euryarchaeota	Thermoplasmata	Unclassified_Thermoplasmata	Unclassified_Thermoplasmata	Unclassified_Thermoplasmata
OTU4	Archaea	Euryarchaeota	Unclassified_Euryarchaeota	Unclassified_Euryarchaeota	Unclassified_Euryarchaeota	Unclassified_Euryarchaeota
OTU5	Archaea	Euryarchaeota	Unclassified_Euryarchaeota	Unclassified_Euryarchaeota	Unclassified_Euryarchaeota	Unclassified_Euryarchaeota
OTU6	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella
OTU7	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Unclassified_Methanocella
OTU8	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
OTU9	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera
OTU10	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Unclassified_Methanobacteriaceae
OTU11	Archaea	Woesearchaeota	Unclassified_Woesearchaeota	Unclassified_Woesearchaeota	Unclassified_Woesearchaeota	Unclassified_Woesearchaeota
OTU12	Archaea	Woesearchaeota	Woesearchaeota Incertae Sedis AR16	Woesearchaeota Incertae Sedis AR16	Woesearchaeota Incertae Sedis AR16	Woesearchaeota Incertae Sedis AR16
OTU13	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
OTU14	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium
OTU15	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Anaerobacter
OTU16	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_incertae_sedis	Geminicoccus	Geminicoccus
OTU17	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis
OTU18	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
OTU19	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ferrimicrobium
OTU20	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ferrithrix
OTU21	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Aquihabitans
OTU22	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Unclassified_Dermacoccaceae
OTU23	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Brachybacterium
OTU24	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Brachybacterium
OTU25	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia
OTU26	Bacteria	Armatimonadetes	Armatimonadetes_gp2	Armatimonadetes_gp2	Armatimonadetes_gp2	Armatimonadetes_gp2
OTU27	Bacteria	Armatimonadetes	Armatimonadetes_gp4	Armatimonadetes_gp4	Armatimonadetes_gp4	Armatimonadetes_gp4
OTU28	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas
OTU29	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas/Armatimonadetes_gp3
OTU30	Bacteria	Acidobacteria	Acidobacteria_Gp1	Acidicapsa	Acidicapsa	Acidicapsa
