SpeciesID	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20
OTU1	1	3	0	0	2	2	2	0	0	4	0	0	0	0	0	0	2	0	0	0
OTU2	0	0	4	8	0	0	0	4	3	0	0	4	5	4	4	7	0	0	0	5
OTU3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0
OTU4	0	2	7	2	0	0	0	5	3	0	0	8	5	0	0	4	0	0	0	0
OTU5	0	0	0	0	4	3	2	0	0	4	0	0	0	0	0	0	4	0	4	0
OTU6	0	3	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
OTU7	0	4	0	3	2	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
OTU11	0	0	0	0	0	0	0	4	0	0	0	0	0	4	5	8	0	0	0	4
OTU12	4	4	4	4	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
OTU13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU14	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	5	0
OTU15	0	0	0	0	0	0	0	4	4	0	0	0	0	0	3	3	0	0	0	4
OTU16	0	0	0	0	0	0	2	0	4	0	0	4	3	0	0	0	0	0	0	0
OTU17	7	5	6	5	2	6	6	4	2	6	7	0	0	0	0	0	0	2	0	0
OTU18	0	0	0	0	5	5	5	0	0	3	3	0	0	0	0	0	2	3	0	0
OTU19	4	4	5	4	2	3	4	4	4	4	4	0	2	0	0	0	1	3	0	0
OTU20	2	7	6	5	6	4	5	4	5	4	0	4	9	0	0	2	0	0	0	0
OTU21	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	2	0	0	0	4
OTU22	0	0	0	0	5	6	3	0	2	0	0	2	0	0	0	0	0	0	0	0
OTU23	0	0	0	5	0	0	0	2	2	0	2	4	2	0	0	0	0	0	3	0
OTU24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5
OTU25	0	5	2	2	3	3	3	3	2	3	5	2	2	2	2	0	2	5	6	2
OTU26	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU27	0	5	2	1	2	5	2	2	3	6	3	3	2	6	1	0	0	2	2	0
OTU28	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0
OTU29	0	0	2	2	2	6	2	2	2	2	4	4	0	0	4	4	0	6	3	4
OTU30	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	3
