SampleID,x,y
X10P10NHN1,10.25,16.625
X10P16NHN1,10.25,8.125
X10P19NNN1,23.75,2.625
X10P1NHN1,23.75,22.125
X10P20NHN1,19.25,2.625
X10P23NNN1,5.75,2.625
X10P3NNN1,14.75,22.125
X10P6NNN1,1.25,22.125
X11P10NHN1,10.25,16.625
X11P16NHN1,10.25,8.125
X11P19NNN1,23.75,2.625
X11P1NHN1,23.75,22.125
X11P20NHN1,19.25,2.625
X11P23NNN1,5.75,2.625
X11P3NNN1,14.75,22.125
X11P6NNN1,1.25,22.125
X12P10NHN1,10.25,16.625
X12P16NHN1,10.25,8.125
X12P19NNN1,23.75,2.625
X12P1NHN1,23.75,22.125
X12P20NHN1,19.25,2.625
X12P23NNN1,5.75,2.625
X12P3NNN1,14.75,22.125
X12P6NNN1,1.25,22.125
X13P10NHN1,10.25,16.625
X13P16NHN1,10.25,8.125
X13P19NNN1,23.75,2.625
X13P1NHN1,23.75,22.125
X13P20NHN1,19.25,2.625
X13P23NNN1,5.75,2.625
X13P3NNN1,14.75,22.125
X13P6NNN1,1.25,22.125
X14P10NHN1,10.25,16.625
X14P16NHN1,10.25,8.125
X14P19NNN1,23.75,2.625
X14P1NHN1,23.75,22.125
X14P20NHN1,19.25,2.625
X14P23NNN1,5.75,2.625
X14P3NNN1,14.75,22.125
X14P6NNN1,1.25,22.125
