SampleID,AST,SST,AAT,SAT,NO3,NH4,TN,TC,pH,ABC3,ABC4,ABT,PRn,SMoi,AMoi,SPr,APr,SSPEI,ASPEI,WY
X10P10NHN1,18.59269886,18.36638441,17.11846167,15.01966566,5.47,5.12,0.116,1.136,6.93,309,63,372,1,6.97,9.078571429,7.8,90.07,-0.30686,-0.3865,1
X10P16NHN1,18.74095051,16.78784913,16.7805789,15.35516095,6.03,3.31,0.102,0.988,6.39,398,63,461,2,7.03,10.31142857,7.8,90.07,-0.30686,-0.3865,1
X10P19NNN1,16.3720066,18.04156922,15.54124521,15.04862634,1.84,2.57,0.08,0.735,6.37,494,132,626,7,6.77,7.332857143,7.8,90.07,-0.30686,-0.3865,0
X10P1NHN1,18.16958944,19.0958871,17.17879364,17.29021841,2.85,3.43,0.062,0.493,6.47,375,129,505,6,6.85,8.687857143,7.8,90.07,-0.30686,-0.3865,1
X10P20NHN1,20.35360763,21.25249693,17.9074669,17.25821808,20.43,5.28,0.127,1.335,6.25,498,108,607,5,6.47,8.706428571,7.8,90.07,-0.30686,-0.3865,1
X10P23NNN1,16.1802696,17.5706922,15.42451203,14.78440491,0.85,4.64,0.093,1.008,6.63,558,68,626,1,6.17,7.773571429,7.8,90.07,-0.30686,-0.3865,0
X10P3NNN1,15.82261826,16.74933132,16.02781824,16.30439516,2.2,3.68,0.073,0.712,6.38,290,174,464,6,7.15,9.745714286,7.8,90.07,-0.30686,-0.3865,0
X10P6NNN1,16.27367226,18.2053797,15.75498827,15.13907056,7.19,2.37,0.065,0.483,6.2,462,68,531,4,6.88,9.189285714,7.8,90.07,-0.30686,-0.3865,0
X11P10NHN1,20.91551079,19.02979167,17.46743929,15.89166936,24.98,1.79,0.097,0.847,6.54,147,124,271,9,6.97,8.586923077,13.3,55.01,0.62654,-2.1621,2
X11P16NHN1,24.21005282,22.94953346,17.90990477,16.79302982,175,10.93,0.172,1.641,5.59,131,218,348,5,7.03,10.27538462,13.3,55.01,0.62654,-2.1621,2
X11P19NNN1,18.52951802,19.38034653,16.86953687,15.79110903,56.1,3.47,0.15,1.524,6.08,163,78,241,7,6.77,7.232307692,13.3,55.01,0.62654,-2.1621,0
X11P1NHN1,22.17588457,21.33004032,17.88374976,16.85935013,47.18,5.53,0.111,1.052,6.08,135,228,363,5,6.85,7.32,13.3,55.01,0.62654,-2.1621,2
X11P20NHN1,25.28785419,24.54770794,18.2387682,17.04737503,70.5,8.77,0.103,0.917,5.76,144,77,221,3,6.47,7.441538462,13.3,55.01,0.62654,-2.1621,2
X11P23NNN1,18.98347292,19.0673119,16.80572811,15.62982113,16.95,2.27,0.078,0.724,6.17,161,77,238,5,6.17,6.691538462,13.3,55.01,0.62654,-2.1621,0
X11P3NNN1,18.47059295,18.12488575,18.0956882,16.99195262,14.91,1.89,0.074,0.541,6.03,215,68,283,7,7.15,8.156153846,13.3,55.01,0.62654,-2.1621,0
X11P6NNN1,18.57561789,19.25508065,16.97039578,15.87438273,61.7,3.73,0.102,0.82,5.66,181,68,249,5,6.88,7.97,13.3,55.01,0.62654,-2.1621,0
