SampleID,Date_Collected,AODC,Conductivity,Temperature,pH,Redox,DO,DIC,DOC,O2_mM,CH4_mM,CO2_mM,N2_mM,N2O_mM,Sulfide,Cl,Br,NO3,PO4,SO4,NO3_Sup,NO2_Sup,Ferrous,K,Na,Ca,Mg,Al,Ba,Ag,As,Be,Bi,Cd,Co,Cr,Cs,Cu,Zn,Fe,Ga,Mn,Li,Ni,Pb,Se,Sr,U,U_Sup,Ti_Sup,V_Sup,Cr52_Sup,Cr53_Sup,Mn_Sup,Fe_Sup,Co_Sup,Ni_Sup,Cu_Sup,Zn66_Sup,Zn68_Sup,Ga_Sup,Ge_Sup,As_Sup,Rb_Sup,Sr_Sup,Mo95_Sup,Mo98_Sup,Ru_Sup,Rh_Sup,Pd_Sup,Cd106_Sup,Cd111_Sup,Sn120_Sup,Sb_Sup,Te_Sup,Cs_Sup,Ba_Sup,La_Sup,Ce_Sup,Pr_Sup,Nd_Sup,Sm_Sup,Eu_Sup,Gd_Sup,Dy_Sup,Ho_Sup,Er_Sup,Tm_Sup,Yb_Sup,Lu_Sup,Hf_Sup,Ta_Sup,W_Sup,Re_Sup,Pt_Sup,Tl_Sup,Pb208_Sup,Th_Sup,U_SS,Ti_SS,V_SS,Cr52_SS,Cr53_SS,Mn_SS,Fe_SS,Co_SS,Ni_SS,Cu_SS,Zn66_SS,Zn68_SS,Ga_SS,Ge_SS,As_SS,Rb_SS,Sr_SS,Mo95_SS,Mo98_SS,Ru_SS,Rh_SS,Pd_SS,Cd106_SS,Cd111_SS,Sn120_SS,Sb_SS,Te_SS,Cs_SS,Ba_SS,La_SS,Ce_SS,Pr_SS,Nd_SS,Sm_SS,Eu_SS,Gd_SS,Dy_SS,Ho_SS,Er_SS,Tm_SS,Yb_SS,Lu_SS,Hf_SS,Ta_SS,W_SS,Re_SS,Pt_SS,Tl_SS,Pb208_SS,Th_SS,U_Plt,Ti_Plt,V_Plt,Cr52_Plt,Cr53_Plt,Mn_Plt,Fe_Plt,Co_Plt,Ni_Plt,Cu_Plt,Zn66_Plt,Zn68_Plt,Ga_Plt,Ge_Plt,As_Plt,Rb_Plt,Sr_Plt,Mo95_Plt,Mo98_Plt,Ru_Plt,Rh_Plt,Pd_Plt,Cd106_Plt,Cd111_Plt,Sn120_Plt,Sb_Plt,Te_Plt,Cs_Plt,Ba_Plt,La_Plt,Ce_Plt,Pr_Plt,Nd_Plt,Sm_Plt,Eu_Plt,Gd_Plt,Dy_Plt,Ho_Plt,Er_Plt,Tm_Plt,Yb_Plt,Lu_Plt,Hf_Plt,Ta_Plt,W_Plt,Re_Plt,Pt_Plt,Tl_Plt,Pb208_Plt,Th_Plt
GW654.0.1.7.13.02,41281,49858.22306,269,13.01,7.19,175,2.35,30.98,0.345,0.343354112,0,1.013712628,1.638568273,0,0.003,1.258972231,0,0.459797715,0,15.64240437,0,0,0.1,0.995884,39.949,16.619,0,0.014937,0,0.007266,0,0,0,0,0,0,0,0,0.01997,0,0,0.011429,0,0,0,0,0.096385,0,0.004343154,0.006862916,0.000790138,0.004245039,0.005976742,0.063900091,0.011276131,7.20E-05,0.001640999,0.006611524,0.297951871,0.440607076,0.19738364,0.002647029,0,0.028854025,2.582141436,0.00106633,0.000946937,0,0.000607844,0.002253711,0.002913938,3.88E-05,6.12E-05,0.000445218,0,5.77E-05,0.573254207,9.13E-07,0,0,1.39E-07,1.15E-06,0.000114036,1.86E-06,0,0,8.31E-07,0,1.64E-07,0.001090511,0.001061865,8.63E-05,0.003855916,3.86E-05,0.000100837,2.41E-06,0.006581651,0.000262067,0.004679272,0.005503546,0.00072549,0.005903846,0.009333333,2.551915152,6.71664881,0.000819209,0.004344444,0.044550265,0.436989899,0.542877451,0.170753623,0.003824074,0,0.026745098,2.501121212,0.000308772,0.000207483,0,8.74E-05,0.000822222,0.000716981,9.91E-05,2.22E-05,0.000523416,0,6.02E-05,0.812839416,4.56E-05,8.33E-05,1.18E-05,5.48E-05,1.36E-05,0.000165577,1.70E-05,4.09E-06,2.02E-06,2.01E-06,0,3.88E-06,0.000493333,0.000297753,7.37E-06,0.001408425,2.16E-05,5.47E-05,1.14E-05,0.004439103,6.32E-05,0.000131653,0,0.000366013,0.002083333,0.010169811,3.706945455,18.90294048,0.00099435,0.005622222,0.107449735,0.67979798,0.724318627,0.129410628,0.002800926,0,0.000321569,0.063113636,3.51E-06,3.40E-06,0,6.80E-05,0.000298413,0.00177044,0.000186186,4.72E-05,0.000134986,0,7.52E-06,0.528238443,0.000100719,0.000202381,3.31E-05,0.000410959,0.000408163,0.000553377,0.000462845,3.48E-05,8.08E-06,2.81E-05,0,1.55E-05,0.000398095,0.000636704,4.05E-05,0,0,1.03E-05,4.72E-05,0.009701923,7.61E-05
FW303.11.2.20.13.02,41325,27410.20794,304.5,12.86,7.28,96,1.75,39.28,0.553,0.349838577,0,1.342296307,1.914925322,0,0,1.43403713,0,0.408195977,0,6.806924943,0,0,0,1.375572,0,52.62,0,0,0.07523,0.007388,0,0,0,0,0,0,0,0,0.046381,0,0,0,0,0,0,0,0.17778,0,0.001015406,0.010361702,0.002464052,0.004647436,0.003578616,0.015745455,0.008827381,7.34E-05,0.003172222,0,0.319575758,0.35052451,0.084096618,0.000152778,0,0.007160784,2.367234848,0.000666667,0.00057483,6.60E-06,0,0,0.00013522,1.50E-05,0,5.23E-05,0,1.00E-05,0.630571776,2.64E-05,5.00E-05,9.46E-06,0,0,9.80E-05,2.76E-05,2.25E-05,6.06E-06,0,0,0,0,0.000314607,0,0,0,1.54E-05,0,0.002269231,1.44E-06,0.001340336,0.008631206,0.002405229,0.004692308,0.004993711,0.024836364,0.069130952,0.000299435,0.002511111,0.006227513,0.242025253,0.270044118,0.084338164,0.000143519,0.000555556,0.006203922,2.345015152,0.000659649,0.000578231,6.60E-06,0,0,0.003638365,1.20E-05,0,6.34E-05,0,7.52E-06,0.658214112,4.08E-05,0.000140476,2.60E-05,0.000123288,3.63E-05,0.000106754,4.03E-05,0,6.06E-06,1.81E-05,0,1.16E-05,5.52E-05,3.00E-05,0,0,0,0,0,0.002597756,8.62E-06,2.80E-05,0.002014184,9.80E-05,0.000423077,0,0.010193939,0.08627381,0.000101695,0.001822222,0.011899471,0.064227273,0.058691176,0.002599034,0,0,0.000411765,0.033681818,3.51E-05,0,0,9.71E-06,0.003546032,0.00681761,0,6.67E-05,0,1.33E-05,1.25E-05,0.008749392,4.56E-05,0.000133333,2.13E-05,9.82E-05,2.04E-05,4.36E-06,2.34E-05,1.43E-05,2.02E-06,0.000413655,0,0.000323643,0,0.000397004,0,2.56E-05,0,0,6.50E-06,0.000953526,0.000155172
GW800.12.12.12.02,41255,19848.77127,379.1,13.13,6.7,355,8.01,52.15,0.602,0.377011829,0,2.585452965,1.37173021,0,0.003,1.853290492,0,0,0,6.633147803,0,0,0,0.997389,0,42.446,0,0.03025,0.094102,0.010819,0,0,0,0,0,0,0,0.00855,0.043229,0,0,0,0,0,0,0,0.050741,0.003299,0.002303501,0.01673617,0.005031373,0.002651923,0.003504403,0.02510303,0.026767857,0,0.00105,0.037428571,0.115732323,0.241078431,0.133386473,5.87E-05,0.001373244,0.006675686,0.646515152,0.00147614,0.001329252,1.25E-05,0,0,0,0.000101811,0,0.000313609,1.81E-05,1.70E-05,0.78053528,0.000429089,0.000183167,0.000122364,0.000623721,0.00017254,0.000361351,0.000177197,4.78E-05,1.65E-05,3.70E-05,4.07E-06,2.42E-05,0.001167619,0.000145581,1.29E-05,9.55E-05,4.08E-06,1.01E-05,9.84E-06,2.43E-05,1.15E-05,0.002004902,0.016167376,0.005296732,0.004038462,0.003292453,0.021254545,0.03960119,0.000525028,0.016410556,0.063751323,0.215555556,0.363627451,0.153478261,0.000126833,0.0011516,0.006695686,0.552689394,0.001795088,0.001657483,3.18E-06,0,0.00048327,0.003813208,0.00011976,3.94E-05,0.000248871,2.62E-05,2.54E-05,0.519294404,0.00032801,0.000168024,0.000107116,0.00052605,9.14E-05,0.000156078,8.79E-05,6.83E-05,1.14E-05,6.02E-05,3.41E-06,2.40E-05,6.25E-05,0.00038882,1.43E-05,0.000137198,9.32E-06,4.39E-05,8.73E-06,0.000115643,0.000109167,0,0,0,0.000235385,0,0.001258727,0.024261905,0,0,0.013846561,0.012487879,0.011575,0.001012657,6.24E-06,0,0,0.001011932,2.19E-06,1.86E-06,0.000570825,0,0,0.003165723,1.21E-05,0.000238166,3.91E-06,7.73E-05,7.04E-07,0.005067397,0.000109161,7.79E-05,4.27E-05,0.000204429,2.80E-05,1.04E-05,3.34E-05,1.96E-05,2.24E-06,2.91E-05,3.63E-07,5.74E-06,0,0.000258876,0,0,2.19E-07,1.52E-06,5.41E-08,0.000492631,3.16E-05
GW683.53.2.18.13.02,41323,10869.56522,393.6,13.82,7.49,472,5.42,45.75,0.565,0.378934488,0,1.87426232,1.674504401,0,0,4.766130519,0,3.773510406,0.071888407,18.25809615,0.049052108,0,0,1.065542,0,46.202,0,0.021561,0.137281,0.011517,0,0,0,0,0,0.005982,0,0.014832,0.078392,0,0.007108,0,0,0,0,0,0.130737,0.009247,0.026015406,0.007950355,0.005052288,0.045602564,0.045704403,0.012769697,0.012428571,0.000514124,0.192888889,0.006603175,0.344429293,0.418808824,0.132135266,9.26E-05,0,0.00947451,1.587507576,0.005568421,0.005108844,0,0,0,2.20E-05,0.000279279,0,0.000187328,0,6.27E-05,1.064734793,5.04E-05,2.38E-06,1.65E-05,0,0,0.000172113,2.55E-05,4.29E-05,1.21E-05,0,5.92E-06,0,0,0.000316479,0,0,7.21E-06,6.50E-05,1.95E-05,0.001072115,7.18E-06,0.033432773,0.00748227,0.005529412,0.050333333,0.050226415,0.016612121,0.06239881,0.000728814,0.196944444,0.023899471,0.269328283,0.338779412,0.135396135,4.63E-05,0.001186667,0.009835294,1.600617424,0.005989474,0.005438776,9.90E-06,0,0,0.004009434,0.000303303,0,0.000206612,5.33E-06,5.76E-05,1.078510949,0.000107914,8.10E-05,4.02E-05,0.000228311,4.54E-05,0.000172113,6.58E-05,0,1.82E-05,4.22E-05,5.92E-06,4.65E-05,2.86E-05,4.68E-05,0,0,1.08E-05,2.22E-05,1.95E-05,0.002796474,1.29E-05,0.000609244,0.000205674,0.000248366,0.00874359,0.00691195,0.003648485,0.093815476,0.000118644,0.03185,0.013666667,0.047454545,0.046769608,0.005483092,1.85E-05,5.33E-05,0.000341176,0.03057197,0.000164912,6.80E-06,0,6.47E-06,0.003565079,0.006141509,0,4.44E-05,0,0,7.52E-06,0.018812652,0.000148681,0.000109524,4.96E-05,0.000246575,4.76E-05,8.71E-06,4.88E-05,4.09E-05,6.06E-06,0.000425703,1.97E-06,0.000329457,0,0.000529963,0,1.83E-05,0,8.55E-06,8.13E-06,0.000764423,0.000215517
GW533.48.11.28.12.02,41241,19376.18147,118,15.92,6.27,182,1.54,20.29,0.253,0.219395285,0,1.902535757,0.97839937,0,0.001,2.400358632,0,1.275802606,0.590102742,7.240857443,0,0,0.02,0.557096,0,22.915,0,0,0.070131,0,0,0,0,0,0,0,0,0,0.049206,0,0,0,0,0,0,0,0.04078,0.003716,0.002409944,0.011607092,0.006741176,0.020429487,0.021037736,0.007123636,0.001784524,0,0.004847778,0,0.125035354,0.262941176,0.14952657,0.000145287,0.003449778,0.003457255,0.565606061,0.000650596,0.000591463,0.000494257,0.003317476,0,0,0.00019958,0,6.66E-05,0,3.62E-05,0.640048662,2.15E-05,1.56E-05,4.52E-06,1.44E-05,0.00010458,0.000209521,0.000105626,0,2.00E-06,2.98E-06,2.13E-07,1.91E-06,0.000722095,0.000260449,3.30E-05,1.55E-05,2.64E-06,4.23E-05,5.54E-06,0,7.27E-05,0.002906022,0.012628369,0.007354248,0.034179487,0.032754717,0.08069697,1.478392857,0.001166384,0.016831667,0.012222751,0.187020202,0.337794118,0.150048309,0.000465185,0.003101333,0.003284314,0.473333333,0.00079207,0.000736156,0.006764686,0.000985405,7.39E-05,0.003803774,0.000201892,0.000125278,7.12E-05,0.000174096,5.34E-05,0.560437956,0.000274772,0.001070238,0.00012617,0.000572922,0.000135102,0.00013658,0.000115244,9.37E-05,1.83E-05,6.61E-05,5.83E-06,3.54E-05,0,0.000333127,0,8.67E-05,1.53E-05,1.78E-05,1.03E-05,0.000928205,7.61E-05,0.000503922,0.007252482,0.001295948,0.021029487,0.019790566,0.101369697,3.156547619,0.001316384,0,0.008507407,0.031676768,0.032245098,0.004989372,0.00052625,5.41E-05,0.000800941,0.0016375,5.02E-05,3.80E-05,0.001013531,0.000423301,0,0.003309119,6.07E-05,0.000187389,1.19E-05,3.85E-05,8.69E-05,0.019532847,0.00060789,0.002189762,0.000278558,0.001201142,0.000271995,6.75E-05,0.000260764,0.000199325,3.89E-05,0.000116988,1.29E-05,7.59E-05,0,0.000274064,0,7.63E-06,3.26E-07,1.76E-06,1.46E-06,0.002108173,4.66E-05
GW750.28.12.12.12.02,41255,6970.699433,367.6,15.12,7.11,18,0.23,59.91,0.778,0.418102056,0,1.497387707,1.969484864,0,0,7.459304383,0,0.567098675,0,14.79912398,0,0,0.03,5.514013,0,71.788,0,0,0.629933,0.01067,0,0,0,0,0,0,0,0,0.039299,0.020184,0.023098,0.049348,0,0,0,0,0.731292,0.008609,0.001286275,0.026361702,0.000513464,0.003253205,0.004828302,0.933333333,0.054041667,0.000422486,0.009595,0,0.263484848,1.393235294,1.142270531,0.002180556,0.002463556,0.049145098,15.56060606,0.001954737,0.001795918,0.00012996,0,0.002171429,0,3.31E-05,0,0.000256033,4.18E-05,0.000209524,6.557907543,5.40E-05,9.67E-06,1.60E-06,4.82E-05,0.000168662,0.002308932,0.000148238,0,6.13E-07,5.72E-06,1.54E-06,2.47E-06,0.001168381,8.51E-05,2.14E-05,0,1.54E-06,2.53E-05,1.86E-05,0,0,0.001265686,0.030475177,0.000534837,0.009454487,0.009741509,0.933939394,1.20172619,0.001171808,0.017061111,0.007351058,0.379343434,1.73627451,1.187487923,0.002476852,0.002807556,0.044243137,10.34393939,0.002111579,0.001995918,8.15E-05,0,0.002578095,0.003785535,6.09E-05,5.42E-05,0.000291543,3.10E-05,0.000235038,6.872992701,5.44E-05,5.12E-05,6.80E-06,3.96E-05,5.05E-05,0.001385185,4.95E-05,4.70E-06,2.73E-06,2.48E-05,1.54E-06,3.06E-06,2.67E-05,0.000263689,0,2.63E-05,2.15E-06,4.39E-05,1.74E-05,0,4.50E-05,3.19E-05,0.000246312,9.04E-05,0.007430769,0.007014465,0.082757576,3.397619048,0.000218588,0.000394022,0,0.031085859,0.034931373,0.007472464,0.000580926,0.002292,0.000102184,0.020109848,2.18E-05,2.34E-05,0.000508713,0.000199417,0,0.003235535,4.66E-05,4.08E-05,1.88E-05,3.82E-05,6.92E-06,0.033571776,3.02E-05,0.000101357,1.17E-05,4.26E-05,1.07E-05,1.01E-05,4.22E-06,9.46E-06,9.35E-07,2.32E-05,2.58E-08,1.34E-06,0,0.000245206,0,2.89E-07,3.18E-07,1.79E-06,3.95E-07,0.000140449,2.91E-05
GW220.50.12.12.12.02,41255,37098.29868,410.7,13.09,7.49,135,0.52,57.34,0.393,0.345415328,0,2.311063033,1.73763973,0,0,22.10312478,0.147369958,2.069695056,0,20.4758331,0.026403597,0,0.05,2.79816,0,61.493,0,0,0.117087,0.010425,0,0,0,0,0,0,0,0,0.037703,0,0,0.024693,0,0,0,0,0.451179,0.004912,0.002044258,0.024411348,0.006253595,0.000762244,0.002165409,0.0563,0.0285,0,0.000178333,0,0.045035354,0.205294118,0.162028986,0.000247653,0.001182222,0.02687451,8.616666667,0.001195789,0.001141497,8.91E-05,0,0.000561238,0,0.002421021,0,0.000262865,8.79E-05,5.86E-05,0.971532847,8.03E-05,4.58E-05,2.04E-05,0.000139155,0.000115692,0.000422789,0.000132569,2.31E-05,9.74E-06,3.07E-05,3.63E-06,2.00E-05,0.001135048,0.000103858,1.45E-05,2.13E-05,7.36E-06,7.08E-05,7.51E-05,0,0,0.001958403,0.02148227,0.00679085,0.001803526,0.001635094,0.194121212,0.032261905,0.000592486,0.020178333,0.003508466,0.095959596,0.293970588,0.178019324,0.000255741,0.001053111,0.022784314,6.278409091,0.001449825,0.001317347,7.04E-05,0,0.001893651,0.004298113,0.003485586,5.64E-05,0.000267383,0.000107526,5.46E-05,0.835766423,0.000128513,9.82E-05,4.05E-05,0.00020016,4.10E-05,0.000208562,4.63E-05,3.79E-05,1.07E-05,4.82E-05,3.02E-06,2.14E-05,1.85E-05,0.00026985,0,6.86E-05,7.61E-06,0.000136479,5.01E-05,0.000756891,2.69E-05,0,0.001560638,0.000210693,0.000620769,4.61E-05,0.253151515,0.031357143,0.000507571,0,0.001350794,0.058308081,0.050220588,0.000792222,1.85E-05,0,9.11E-05,0.007117803,4.86E-05,5.09E-05,0.000591914,0,0,0.003247484,0.002793694,3.01E-05,1.52E-05,6.53E-05,0.000189594,0.003347689,0.000341247,0.000492595,9.87E-05,0.000343767,4.80E-05,9.28E-06,4.68E-05,2.66E-05,4.28E-06,3.87E-05,4.86E-07,1.02E-05,0,0.000267453,0,1.34E-05,6.48E-07,4.27E-06,0,0.001694551,3.03E-05
GW151.12.12.12.02,41255,64981.09641,432.2,15.4,7.07,172,0.25,56.21,0.398,0.420884585,0.006859856,1.334458806,1.979302794,0,0.001,27.07512577,0.100217557,3.68708235,0,26.05973403,0.085658615,0,0,2.50587,0,59.841,0,0.019572,0.193583,0.010406,0,0,0,0,0,0,0,0,0.043853,0,0.008547,0,0,0,0,0,0.567239,0.007109,0.006732493,0.024193617,0.003447712,0.001064872,0.002875472,0.313569697,0.033309524,0.000124633,0.007250556,0,0.083494949,0.368137255,0.285072464,0.000180861,0.000881556,0.026670588,11.14734848,0.001684912,0.001397959,6.23E-05,0,0.001439365,0,0.00085042,0,0.000123333,0,0.000170075,1.66593674,0.00013036,0.000379452,4.40E-05,0.000231438,0.000165578,0.000665272,0.000154904,2.54E-05,8.00E-06,2.41E-05,1.20E-06,2.18E-05,0.00108781,8.68E-05,1.55E-05,3.60E-05,1.39E-05,0.000196838,3.83E-05,0,0,0.006252101,0.021041844,0.003433987,0.002190385,0.00187956,0.077084848,0.031904762,0.000461186,0.013574444,0.001539048,0.132479798,0.475784314,0.306714976,0.000249537,0.000559244,0.022427451,7.789772727,0.001826667,0.001643537,0.000138185,0,0.0024,0.004158491,0.000177808,3.93E-05,0.000123691,9.36E-05,0.000130251,1.446472019,8.36E-05,0.00023569,3.35E-05,0.000169498,4.57E-05,0.000357952,4.68E-05,3.42E-05,8.28E-06,3.51E-05,2.26E-06,1.51E-05,1.70E-05,0.000263127,0,7.69E-05,2.73E-05,0.000301863,3.24E-05,6.09E-05,2.40E-05,0.000127955,0,0,0.000326026,0,0.013371515,0.024232143,0.000198531,0,0,0.029010101,0.02827451,0.003071498,5.82E-06,0,0.000173765,0.032227273,2.24E-06,1.87E-05,0.000653531,4.28E-05,0,0.003237421,2.46E-05,1.65E-05,7.10E-06,1.86E-05,1.02E-05,0.014861314,4.92E-05,0.000178095,2.54E-05,0.000120137,2.13E-05,9.60E-06,2.66E-05,1.79E-05,2.72E-06,2.66E-05,7.80E-07,2.79E-06,0,0.00025809,0,4.70E-06,1.12E-07,0,4.45E-07,6.48E-05,2.78E-05
GW084.56.11.28.12.02,41241,10160.68053,339.7,15.66,7.15,102,0.19,58,0.261,0.222938675,0,2.416969269,1.243961939,0,0.005,1.719961977,0,0.287190424,0,8.317227703,0,0,0.11,0.384824,0,79.943,0,0.01226,0.107286,0.007291,0,0,0,0,0,0,0,0,0.020397,0,0,0.004742,0,0,0,0,0.061614,0,0.005984314,0.024765957,0.004422222,0.010089103,0.010533333,0.092321212,0.01172619,0,6.70E-05,0,0.197323232,0.612745098,0.434009662,0.000158509,0.002727111,0.008525882,1.511742424,0.000546772,0.000495748,0.000233366,0.001895469,0,0,0.000163526,0,6.52E-05,1.53E-05,4.59E-05,1.979805353,5.05E-05,2.75E-05,1.05E-05,5.26E-05,0.000114989,0.000527669,0.000132463,2.22E-06,4.80E-06,1.57E-05,1.93E-06,1.28E-05,0.000831619,0.000119906,2.68E-05,2.99E-05,4.88E-06,1.35E-05,1.55E-05,0.000234776,1.42E-06,0.001281232,0.049319149,0.006254902,0.029294872,0.028301887,1.512242424,2.014285714,0.009160452,0.033588889,0.015751852,0.343636364,0.795931373,0.427826087,0.000906667,0.002948444,0.009283922,1.304166667,0.000741439,0.00069619,0.00169802,0,2.94E-05,0.003638365,8.13E-05,0.000130083,0.000145207,9.43E-05,0.000178421,1.843552311,0.000838369,0.002756429,0.000436667,0.002162785,0.000502041,0.000449172,0.000462144,0.000307301,5.54E-05,0.000164438,1.61E-05,8.74E-05,0,0.000272734,0,0.000132308,0.000266055,2.10E-05,1.31E-05,0.008551282,4.00E-05,2.70E-07,0.022084397,0.002482353,0.025673077,0.023716981,1.643636364,3.063690476,0.01009887,0.038894444,0.017708995,0.131424242,0.14225,0.025318841,0.000741713,0.000280222,0.004171765,0.014655303,1.63E-05,1.78E-05,0.000925875,0.000419126,0,0.003380503,0.000100327,7.39E-05,5.99E-05,9.93E-05,0.000179148,0.11350365,0.001710072,0.005435476,0.000855792,0.003963699,0.00094059,0.000230588,0.000813376,0.000598282,0.000105091,0.000294237,2.93E-05,0.000176066,0,0.000267715,0,2.21E-05,2.23E-07,0,4.94E-06,0.014415064,4.01E-05
GW921.86.1.28.13.02,41302,472.5897921,465.5,15.57,7.46,300,0.64,54.14,0.488,0.668788352,0,2.571912425,3.453264228,0,0.001,3.282272376,0,0.144185303,0,25.65197147,0.002770352,0,0,3.176811,25.003,45.65,0,0.019015,0.297567,0.010597,0,0,0,0,0,0,0,0.006425,0.034225,0,0.012055,0,0,0,0,0,1.347058,0.003219,0.001931373,0.005921986,0.005771242,0.002070513,0.002207547,0.039757576,0.01127381,0,0.007077778,0,0.336343434,0.543122549,0.277574879,0.002449074,0,0.055356863,16.3405,0.004042105,0.003554422,0.001425743,0,0.000838095,0.000100629,1.20E-05,0,0.000162534,0,0.000177945,2.226953771,4.08E-05,3.57E-05,9.46E-06,0,0,0.000326797,1.91E-05,1.23E-05,2.02E-06,0,0,0,0,0.000363296,3.68E-06,0,0,6.15E-05,0,0.001399038,2.87E-05,0.002408964,0.007950355,0.00645098,0.002032051,0.004018868,0.045248485,0.06964881,0.000158192,0.006433333,0.01057672,0.216232323,0.432245098,0.285618357,0.002453704,0.000382222,0.0498,17.09068939,0.004080702,0.003663265,0.000432343,0,0.002746032,0.004336478,3.00E-05,0,0.000206612,3.20E-05,0.000200501,2.295510949,4.08E-05,7.62E-05,1.42E-05,6.16E-05,2.49E-05,0.000344227,2.97E-05,0,2.02E-06,1.00E-05,0,7.75E-06,9.71E-05,0.000127341,0,0,0,0,0,0.002309295,0,3.22E-05,0.000283688,0.000169935,3.21E-05,0,0.004721212,0.117934524,3.39E-05,0.002038889,0.01662963,0.132808081,0.123946078,0.006391304,4.63E-05,0,0.000647059,0.165223485,8.77E-05,0,0,0,0.005542857,0.008044025,0,0.000127778,0,2.40E-05,1.00E-05,0.02273236,3.60E-05,6.90E-05,9.46E-06,3.42E-05,0,0,4.25E-06,0,0,0.000405622,0,0.000315891,0,0.001076779,1.84E-06,0.000148352,0,1.71E-05,5.69E-05,0,0.001314655
