"ID","group","index","both","env","dist","env_p_dist","dist_p_env"
"1","S1","proprotion",0.38649535330689,0.140941694245644,0.268356599201123,0.118138754105766,0.245553659061246
"2","S1","pvalue",0.012,0.141,0.02,0.092,0.041
"3","S1","obs",0.38649535330689,0.140941694245644,0.268356599201123,0.118138754105766,0.245553659061246
"4","S1","mean",0.563340551598908,0.209391931954372,0.397924470781987,0.16541608081692,0.353948619644535
"5","S1","stdev",0.106664458251886,0.106258450825085,0.108193875112242,0.070481291128945,0.111493080345833
"6","S1","min",0.270576703309468,0.0122064677003606,0.134285067972608,0.00987213734191458,0.106260922084899
"7","S1","q25",0.484408480598963,0.13907595941653,0.319695260609593,0.11873575996449,0.27114108884432
"8","S1","median",0.555646138718459,0.18111836178566,0.383350443623137,0.153772691979021,0.337097262416372
"9","S1","q75",0.637667921719043,0.274302913288488,0.466724580146618,0.200047371677393,0.422525395421266
"10","S1","max",0.916696179137805,0.67949145487517,0.826324795212395,0.520841475913216,0.857169654446965
"11","S1","LowerWhisker",0.270576703309468,0.0122064677003606,0.134285067972608,0.00987213734191458,0.106260922084899
"12","S1","LowerHinge",0.484408480598963,0.13907595941653,0.319695260609593,0.11873575996449,0.27114108884432
"13","S1","Median.plot",0.555646138718459,0.18111836178566,0.383350443623137,0.153772691979021,0.337097262416372
"14","S1","HigherHinge",0.637667921719043,0.274302913288488,0.466724580146618,0.200047371677393,0.422525395421266
"15","S1","HigherWhisker",0.863744683315252,0.476680033496185,0.682616802652848,0.321724256939314,0.64746190806949
"16","S1","Outlier1",0.916696179137805,0.588535833555985,0.694112967809383,0.520841475913216,0.675618016882218
"17","S1","Outlier2",0.882041488061585,0.538420325342815,0.826324795212395,0.339455439272825,0.698098392597958
"18","S1","Outlier3",0.907937301551703,0.482693780267448,0.797773547206976,0.33107046051993,0.712518508149155
"19","S1","Outlier4",NA,0.508144435575049,0.71532142790575,0.447606905012445,0.857169654446965
"20","S1","Outlier5",NA,0.67949145487517,0.734489119646991,0.360885170031677,0.773032715451792
"21","S1","Outlier6",NA,0.512264627755682,0.760758566608938,0.325817109865416,0.675238984365537
"22","S1","Outlier7",NA,0.543686366480475,0.725308744980177,0.405047151337146,0.662883633382978
"23","S1","Outlier8",NA,0.563042225361343,0.736627764692123,0.349034924475114,0.680789428095386
"24","S1","Outlier9",NA,0.483034427875606,0.736679368413544,0.370010631753572,NA
"25","S1","Outlier10",NA,0.536600553876015,NA,0.453033215696226,NA
"26","S1","Outlier11",NA,0.641226581105676,NA,0.326833275449007,NA
"27","S1","Outlier12",NA,0.61312228389107,NA,0.348272373454904,NA
"28","S1","Outlier13",NA,0.479938983519048,NA,0.362862310301407,NA
"29","S1","Outlier14",NA,0.659307705652264,NA,0.327916602090796,NA
"30","S1","Outlier15",NA,0.536950819815536,NA,0.389084354055587,NA
"31","S1","Outlier16",NA,0.516573200558569,NA,0.491935645194014,NA
"32","S1","Outlier17",NA,0.631602077100137,NA,0.395251655860793,NA
"33","S1","Outlier18",NA,NA,NA,0.329327819759243,NA
"34","S1","Outlier19",NA,NA,NA,0.342538930629941,NA
"35","S1","Outlier20",NA,NA,NA,0.463420812559238,NA
"36","S1","Outlier21",NA,NA,NA,0.391070383985106,NA
"37","S1","Outlier22",NA,NA,NA,0.343275533403098,NA
"38","S1","Outlier23",NA,NA,NA,0.328837600948126,NA
"39","S1","Outlier24",NA,NA,NA,0.363348264634376,NA
"40","S1","Outlier25",NA,NA,NA,0.417858386782654,NA
"41","S1","Outlier26",NA,NA,NA,0.345518705492477,NA
"42","S1","Outlier27",NA,NA,NA,0.374131290920534,NA
"43","S1","Outlier28",NA,NA,NA,0.358704053504513,NA
"44","S1","Outlier29",NA,NA,NA,0.326651478193247,NA
"45","S1","Outlier30",NA,NA,NA,0.330359233412212,NA
"46","S1","Outlier31",NA,NA,NA,0.452914662269312,NA
"47","S1","Outlier32",NA,NA,NA,0.340568167678834,NA
"48","S2","proprotion",0.277311472830397,0.16151844479689,0.176494970734122,0.100816502096275,0.115793028033507
"49","S2","pvalue",0.069,0.095,0.064,0.213,0.157
"50","S2","obs",0.277311472830397,0.16151844479689,0.176494970734122,0.100816502096275,0.115793028033507
"51","S2","mean",0.390903418646731,0.21810535502833,0.236390105378278,0.154513313268453,0.172798063618401
"52","S2","stdev",0.144459192157964,0.116253721470412,0.134444081446902,0.0987634813167834,0.107428460460972
"53","S2","min",0.0927688525295283,0.00339396939392179,0.00190329752584872,0.00642822311516919,0.00620169176853132
"54","S2","q25",0.288137196239973,0.132868247738843,0.140961336237797,0.084162271882965,0.0934097142852976
"55","S2","median",0.370053276998394,0.20868877078045,0.217703682086749,0.13363100380254,0.147671966734115
"56","S2","q75",0.47843563874207,0.28635053130351,0.304067585037834,0.197919525331536,0.231322872072
"57","S2","max",0.91723801984087,0.788088478288673,0.825209838556677,0.706527149764911,0.66769758540607
"58","S2","LowerWhisker",0.0927688525295283,0.00339396939392179,0.00190329752584872,0.00642822311516919,0.00620169176853132
"59","S2","LowerHinge",0.288137196239973,0.132868247738843,0.140961336237797,0.084162271882965,0.0934097142852976
"60","S2","Median.plot",0.370053276998394,0.20868877078045,0.217703682086749,0.13363100380254,0.147671966734115
"61","S2","HigherHinge",0.47843563874207,0.28635053130351,0.304067585037834,0.197919525331536,0.231322872072
"62","S2","HigherWhisker",0.74875524192448,0.506574081831737,0.546865053135257,0.360050369983569,0.436846080137386
