"ID","Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Domain","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","TopTaxon.Species","Domain.maxNamed","Domain.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent","Species.maxNamed","Species.maxNamed.Percent"
"1","Bin1",0.00130850630850631,"New.ReferenceOTU109853",0.12597200622084,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","uncultured_organism","Bacteria",1,"Patescibacteria",1,"Parcubacteria",0.996889580093313,"Parcubacteria",0.524105754276827,"Parcubacteria",0.524105754276827,"Parcubacteria",0.524105754276827,"uncultured_bacterium",0.684292379471229
"2","Bin2",0.000453805453805454,"New.ReferenceOTU13296",0.123318385650224,"Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_Parcubacteria","Bacteria",1,"Patescibacteria",1,"Parcubacteria",1,"Parcubacteria",0.941704035874439,"Parcubacteria",0.941704035874439,"Parcubacteria",0.941704035874439,"uncultured_bacterium",0.62780269058296
"3","Bin3",0.00104802604802605,"202528",0.114563106796116,"Bacteria","Patescibacteria","Parcubacteria","UBA9983","UBA9983","UBA9983","Candidatus_Nomurabacteria","Bacteria",1,"Patescibacteria",1,"Parcubacteria",0.978640776699029,"UBA9983",0.26504854368932,"UBA9983",0.26504854368932,"UBA9983",0.26504854368932,"uncultured_bacterium",0.278640776699029
"4","Bin4",0.00161375661375661,"New.ReferenceOTU28703",0.105926860025221,"Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","uncultured_bacterium","Bacteria",1,"Patescibacteria",1,"ABY1",0.955863808322825,"Candidatus_Magasanikbacteria",0.432534678436318,"Candidatus_Magasanikbacteria",0.432534678436318,"Candidatus_Magasanikbacteria",0.432534678436318,"uncultured_bacterium",0.598991172761665
"5","Bin5",0.00363756613756614,"New.ReferenceOTU270607",0.245314685314685,"Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","uncultured_sediment","Bacteria",1,"Patescibacteria",0.967272727272727,"Gracilibacteria",0.943216783216783,"Gracilibacteria",0.582377622377622,"Gracilibacteria",0.582377622377622,"Gracilibacteria",0.582377622377622,"uncultured_sediment",0.25986013986014
"6","Bin6",0.000456857956857957,"New.ReferenceOTU274047",0.135857461024499,"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria","Candidatus_Woesebacteria","uncultured_eubacterium","Bacteria",1,"Patescibacteria",1,"Microgenomatia",0.993318485523385,"Candidatus_Woesebacteria",0.503340757238307,"Candidatus_Woesebacteria",0.503340757238307,"Candidatus_Woesebacteria",0.503340757238307,"uncultured_bacterium",0.427616926503341
"7","Bin7",0.000580993080993081,"New.ReferenceOTU113875",0.38353765323993,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","wastewater_metagenome","Bacteria",1,"Patescibacteria",0.998248686514886,"Saccharimonadia",0.987740805604203,"Saccharimonadales",0.987740805604203,"Saccharimonadales",0.952714535901927,"Saccharimonadales",0.952714535901927,"wastewater_metagenome",0.392294220665499
"8","Bin8",0.000547415547415547,"New.ReferenceOTU245500",0.176579925650558,"Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","Vermiphilaceae","Unclassified","Bacteria",1,"Dependentiae",1,"Babeliae",1,"Babeliales",1,"Vermiphilaceae",0.563197026022305,"Vermiphilaceae",0.563197026022305,"uncultured_bacterium",0.295539033457249
"9","Bin9",0.000998168498168498,"New.ReferenceOTU248495",0.267074413863405,"Bacteria","Dependentiae","Babeliae","Babeliales","Unclassified","Unclassified","Unclassified","Bacteria",1,"Dependentiae",1,"Babeliae",1,"Babeliales",1,"Vermiphilaceae",0.443425076452599,"Vermiphilaceae",0.443425076452599,"uncultured_bacterium",0.393476044852192
"10","Bin10",0.000879120879120879,"New.ReferenceOTU237662",0.179398148148148,"Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409","UBA12409","metagenome","Bacteria",1,"Dependentiae",1,"Babeliae",1,"Babeliales",1,"UBA12409",0.821759259259259,"UBA12409",0.821759259259259,"uncultured_bacterium",0.436342592592593
"11","Bin11",0.001502849002849,"582558",0.232904536222072,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfuricurvum","Unclassified","Bacteria",1,"Campilobacterota",0.475964793500338,"Campylobacteria",0.475964793500338,"Campylobacterales",0.475964793500338,"Sulfurimonadaceae",0.407582938388626,"Sulfuricurvum",0.329722410291131,"uncultured_bacterium",0.404197698036561
"12","Bin12",0.00099002849002849,"2775220",0.280575539568345,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93","KD3-93","Unclassified","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Sphingobacteriales",0.782117163412127,"KD3-93",0.441932168550874,"KD3-93",0.441932168550874,"metagenome",0.145940390544707
"13","Bin13",0.00562067562067562,"740347",0.789102099927589,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium","Unclassified","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Sphingobacteriales",0.903330919623461,"Lentimicrobiaceae",0.870021723388849,"Lentimicrobium",0.831824764663287,"uncultured_bacterium",0.105177407675597
"14","Bin14",0.00813186813186813,"104069",0.926551551551552,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Asinibacterium","Unclassified","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",1,"Chitinophagaceae",1,"Asinibacterium",0.934309309309309,"uncultured_bacterium",0.0285285285285285
"15","Bin15",0.000512820512820513,"New.ReferenceOTU202870",0.251984126984127,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified","Unclassified","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",1,"Chitinophagaceae",1,"uncultured",0.353174603174603,"metagenome",0.0555555555555556
"16","Bin16",0.0155494505494505,"781203",0.927430964533438,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","metagenome","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",1,"Chitinophagaceae",1,"Sediminibacterium",0.947585394581861,"metagenome",0.927954456223007
"17","Bin17",0.00186304436304436,"277727",0.336428181321682,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","AKYH767","uncultured_bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Chitinophagales",0.63407973784817,"Chitinophagaceae",0.404696886947023,"Edaphobaculum",0.376843255051884,"uncultured_bacterium",0.487711632987439
"18","Bin18",0.00169108669108669,"1087471",0.512635379061372,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","env.OPS_17","uncultured_bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Sphingobacteriales",0.990373044524669,"env.OPS_17",0.989169675090253,"env.OPS_17",0.989169675090253,"uncultured_bacterium",0.580625752105897
"19","Bin19",0.00214794464794465,"245345",0.344386546660351,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group","metagenome","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Sphingobacteriales",0.809568924680246,"NS11-12_marine_group",0.803410705826622,"NS11-12_marine_group",0.803410705826622,"metagenome",0.412126954050213
"20","Bin20",0.00981481481481481,"1025153",0.402861289653743,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Unclassified","Unclassified","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Sphingobacteriales",0.755753680281982,"Sphingobacteriaceae",0.755753680281982,"Pedobacter",0.255235330707029,"uncultured_bacterium",0.13010574331329
"21","Bin21",0.00262006512006512,"304640",0.656699029126214,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Pseudarcicella","Unclassified","Bacteria",1,"Bacteroidota",1,"Bacteroidia",1,"Cytophagales",0.996116504854369,"Spirosomaceae",0.885436893203883,"Pseudarcicella",0.664077669902913,"uncultured_bacterium",0.0380582524271845
"22","Bin22",0.00386243386243386,"242141",0.839567966280295,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter","uncultured_bacterium","Bacteria",1,"Bacteroidota",1,"Bacteroidia",0.998419388830348,"Bacteroidales",0.997629083245522,"Paludibacteraceae",0.883825079030559,"Paludibacter",0.874604847207587,"uncultured_bacterium",0.879083245521602
"23","Bin23",0.0258038258038258,"New.ReferenceOTU8426",0.683320189274448,"Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium","Bacteria",1,"Bacteroidota",0.999763406940063,"Kryptonia",0.999723974763407,"Kryptoniales",0.999723974763407,"BSV26",0.999723974763407,"BSV26",0.999723974763407,"uncultured_bacterium",0.802405362776025
"24","Bin24",0.00716117216117216,"New.ReferenceOTU54930",0.525575447570332,"Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium","Bacteria",1,"Bacteroidota",0.998152884342143,"Kryptonia",0.986217675475987,"Kryptoniales",0.986217675475987,"BSV26",0.86999147485081,"BSV26",0.86999147485081,"uncultured_bacterium",0.946717817561807
"25","Bin25",0.0174155474155474,"256995",0.494274363168965,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","uncultured_Chlorobi","Bacteria",1,"Bacteroidota",0.98732180415985,"Ignavibacteria",0.970553867726104,"Ignavibacteriales",0.970553867726104,"Ignavibacteriaceae",0.547032016826361,"Ignavibacterium",0.547032016826361,"uncultured_Chlorobi",0.534178546389343
"26","Bin26",0.00147334147334147,"160290",0.544198895027624,"Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","Unclassified","Bacteria",1,"Bacteroidota",0.99792817679558,"Kapabacteria",0.99792817679558,"Kapabacteriales",0.99792817679558,"Kapabacteriales",0.99792817679558,"Kapabacteriales",0.99792817679558,"uncultured_bacterium",0.159530386740331
