SampleID,Conductivity,H,OH,Cl,Br,NO3,SO4,K,Na,Ca,Mg,Al,Ba,Ag,As,Be,Bi,Cd,Co,Cr,Cs,Cu,Zn,Fe,Mn,Li,Ni,Pb,Se,Sr,U
FW126.7.25.12.02,22.64507422,794.3282347,1.58489E-05,0.553423333,0,1026.15,4.35244,0.483684211,0.252353333,9.379184615,1.092823529,242.8737715,0.0662335,0,0.2868,0,0,158.937,28.005925,4.764816667,0,1.425713077,0.3988868,0.513743333,141.0845238,0,62.5976,2.244,0.11176,0.552839762,1445.088967
GW247.7.11.14.12.02,27.82726046,1.318256739,0.009549926,0.42493,0,1444.65,0.084504,0.195630058,0.085098,131.1178077,2.911847059,0.043397143,8.842807,0.2124,0,9.5025,0,3.5956,0.441175,0.069658333,0.013026429,0.006153077,0.0190526,0,28.28545714,0.09920025,1.348826667,0.16945,0,2.921327857,2.6813
GW246.1.11.26.12.02,25.07422402,33.11311215,0.000380189,0.478143333,0,1347.13,0.128104,0.168851347,0.123809333,100.8931538,2.626076471,28.58036,2.7335585,0.21363,0.6663,14.22775,0,61.3512,11.0279,0.059966667,0.011916429,0.025443846,0.0459274,0.110756667,92.50119048,0.1229915,23.15998,0.19495,0.21174,2.392534048,8.648233333
FW104.7.26.12.02,20.87719298,1.230268771,0.01023293,0.310256667,0,558.42,22.1328,0.528321053,0.125289667,12.11043077,1.356535294,8.247510438,0.099949,0,0.176,0,0,6.7976,2.158725,0.07595,0,0.120764615,0.043032,0.924253333,146.1488095,0,2.432533333,0,0,0.664613333,1138.410367
FW104.67.11.14.12.02,18.43454791,6.025595861,0.002089296,0.407683333,0,906.87,1.175508,0.467736842,0.130266,93.43180769,1.372,4.144601429,0.1607265,0.21213,0,10.01775,0,24.5092,3.3537,0.092791667,0.011617857,0.031873077,0.0402496,10.65956667,147.7083333,0.0176215,6.935093333,0.2014,0,0.800378333,299.6013667
GW754.40.1.7.13.02,0.238326586,741.3102413,1.69824E-05,0.002467964,0,0.093335973,0.090067085,0.016691947,0,0.1059,0,0,0.074437,0.10512,0,0,0,0,0,0,0,0,0.0080862,0,0,0,0,0,0,0.021630238,0.066333333
FW106.7.25.12.02,11.33738192,204.1737945,6.16595E-05,0.543753333,0.03606,331.12,6.83052,1.757310526,0.302658333,2.422969231,0.303917647,0,0.028064,0,0.4901,0,0,32.113,12.5956,2.251825,0,0.520163077,0.2079128,0,46.13690476,0,36.59735333,2.44265,0.53652,0.123836667,599.3396
GW526.15.11.27.12.02,12.77732794,0.011220185,1.122018454,0.051792066,0.000231147,584.996,0.012085722,0.1199247,0.472012333,1.468507692,0,0.037473571,8.973538,0.21266,0,9.515,0,0.7978,0,0.0784,0.011831429,0.017963846,0.0145638,0.03532,0.047494048,0.16133125,0,0.16105,0,5.149226667,0.3443
FW106.11.13.12.02,10.61268556,281.8382931,4.46684E-05,0.530283333,0,269.204,8.25076,1.139163158,0.288446333,2.102030769,0,77.49785714,0.038724,0.21733,0.8416,14.77275,0,26.456,12.7342,3.19645,0.011827857,0.623441538,0.2197466,0.12501,38.68809524,0.48646075,47.89036,1.5945,0.47242,0.087941905,554.1518
PTMW02.4.12.11.12.02,12.56005398,19.05460718,0.000660693,0.176708333,0,507.757,0.497272,0.204076268,0.058639333,56.05619231,0.878276471,3.015510714,0.1663145,0.21127,0,10.14075,0,64.97,2.11145,0.077866667,0.011612857,0.208233077,0.036287,0.14564,61.96666667,0.01077225,2.323753333,0.2984,0,0.50793,28.3906
GW346.47.11.27.12.02,9.353576248,0.263026799,0.047863009,0.083794766,1.49788E-05,459.063,0.073609262,0.126954874,0.035705667,37.00086154,1.279441176,0.030560714,1.0326965,0.20996,0,9.46925,0,0.8022,0.0773,0.289341667,0.011932143,0.008998462,0.016333,0,0.161484524,0.05161675,0,0.17045,0,6.196756905,0.6578
FW021.46.11.27.12.02,10.75168691,371.5352291,3.38844E-05,0.253855,0,450.69,0.16778,0.151721053,0.089734,30.53941538,0.693535294,81.78642857,1.036723,0.10662,0,19.63025,0,34.5286,30.63475,0,0,0.091060769,0.1793394,0,152.9190476,0.0567385,35.59350667,0.18435,0.25732,0.326863571,125.0488667
