ID,group
GW704.5.12.17.12.02,D1
GW533.48.11.28.12.02,D1
GW220.50.12.12.12.02,D1
GW198.41.2.11.13.02,D1
GW761.29.1.28.13.02,D1
GW385.80.2.18.13.02,D1
GW779.8.2.18.13.02,D1
GW057.10.1.8.13.02,D1
GW685.6.1.8.13.02,D2
GW658.63.1.23.13.02,D2
GW773.35.2.4.13.02,D2
TPB16.81.11.28.12.02,D2
GW350.74.2.12.13.02,D2
GW763.23.1.22.13.02,D2
GW056.87.1.8.13.02,D2
GW384.12.17.12.02,D2
GW531.83.11.28.12.02,D3
GW803.31.1.23.13.02,D3
GW345.51.11.27.12.02,D3
GW929.2.11.13.02,D3
GW641.30.1.23.13.02,D3
FW511.61.11.26.12.02,D3
FW301.81.2.20.13.02,D3
GW754.40.1.7.13.02,D3
GW107.91.12.11.12.02,D4
GW125.85.2.20.13.02,D4
GW363.94.1.22.13.02,D4
GW228.12.2.4.13.02,D4
GW639.90.1.23.13.02,D4
GW105.12.11.12.02,D4
FW602.2.26.2.11.28.12.02,D4
GW706.96.12.17.12.02,D4
FW021.46.11.27.12.02,D5
GW247.7.11.14.12.02,D5
FW106.11.13.12.02,D5
FW104.67.11.14.12.02,D5
GW246.1.11.26.12.02,D5
GW346.47.11.27.12.02,D5
FW510.26.11.26.12.02,D5
FW109.40.92.11.14.12.02,D5
