Index,Type,Unit,Description
SampleID,TEXT,NA,Unique ID for each sample of each pore size
Date_Collected,DATE,NA,Sampling date
splane_eas,NUMBER,m,plane coordinates. East.
splane_nor,NUMBER,m,plane coordinates. North.
elevation,NUMBER,m,the ground elevation of each well
Top_depth,NUMBER,ft,The depth of the top of screen or open interval of each well
Bot_depth,NUMBER,ft,The depth of the bottom of screen or open interval of each well
Screen,NUMBER,ft,The size of screen
AODC,NUMBER,cells/mL,AODC - Acridine Orange Direct Count
Conductivity,NUMBER,?S/cm,Conductivity of each sample
Temperature,NUMBER,蚓,Temperature of each sample. Mostly during initial sampling.
pH,NUMBER,-,pH value of each sample. Mostly during initial sampling.
H,NUMBER,mol/L,Concentration of hydrogen ion
OH,NUMBER,mol/L,Concentration of hydroxyl ion
Redox,NUMBER,mV,Redox potential of each sample. Mostly during initial sampling.
DO,NUMBER,mg/L,Dissolved oxygen of each sample. Mostly during initial sampling.
DIC,NUMBER,mg/L,Dissolved inorganic carbon in each sample
DOC,NUMBER,mg/L,Dissolved organic carbon in each sample
O2_mM,NUMBER,mM,"Dissolved Oxygen concentraction, analyzed by TDC."
CH4_mM,NUMBER,mM,"Dissolved Methane concentraction, analyzed by TDC."
CO2_mM,NUMBER,mM,"Dissolved Carbon dioxide concentraction, analyzed by TDC."
N2_mM,NUMBER,mM,"Dissolved Nitrogen concentraction, analyzed by TDC."
N2O_mM,NUMBER,mM,"Dissolved Nitrous oxide concentraction, analyzed by TDC."
Sulfide,NUMBER,mg/L,Sulfide concentration in each sample (in situ measured).
Cl,NUMBER,mg/L,Anion concentration in each sample.
Br,NUMBER,mg/L,Anion concentration in each sample.
NO3,NUMBER,mg/L,Anion concentration in each sample.
PO4,NUMBER,mg/L,Anion concentration in each sample.
SO4,NUMBER,mg/L,Anion concentration in each sample.
NO3_Sup,NUMBER,mM,Nitrate concentration in the supernatant of each sample.
NO2_Sup,NUMBER,然,Nitrite concentration in the supernatant of each sample.
Ferrous,NUMBER,mg/L,"Ferrous iron concentration in each sample, in situ measured."
K,NUMBER,mg/L,Metal concentration in each sample.
Na,NUMBER,mg/L,Metal concentration in each sample.
Ca,NUMBER,mg/L,Metal concentration in each sample.
Mg,NUMBER,mg/L,Metal concentration in each sample.
Al,NUMBER,mg/L,Metal concentration in each sample.
Ba,NUMBER,mg/L,Metal concentration in each sample.
Ag,NUMBER,mg/L,Metal concentration in each sample.
As,NUMBER,mg/L,Metal concentration in each sample.
Be,NUMBER,mg/L,Metal concentration in each sample.
Bi,NUMBER,mg/L,Metal concentration in each sample.
Cd,NUMBER,mg/L,Metal concentration in each sample.
Co,NUMBER,mg/L,Metal concentration in each sample.
Cr,NUMBER,mg/L,Metal concentration in each sample.
Cs,NUMBER,mg/L,Metal concentration in each sample.
Cu,NUMBER,mg/L,Metal concentration in each sample.
Zn,NUMBER,mg/L,Metal concentration in each sample.
Fe,NUMBER,mg/L,Metal concentration in each sample.
Ga,NUMBER,mg/L,Metal concentration in each sample.
Mn,NUMBER,mg/L,Metal concentration in each sample.
Li,NUMBER,mg/L,Metal concentration in each sample.
