SampleID,elevation,Top_depth,Bot_depth,Screen
GW654.0.1.7.13.02,282.842208,5.3,15.3,10
FW303.11.2.20.13.02,251.024136,15.16,20.16,5
GW800.12.12.12.02,285.5214,19.9,29.4,9.5
GW683.53.2.18.13.02,243.24564,146,196.8,50.8
GW533.48.11.28.12.02,297.62196,19.7,30.1,10.4
GW750.28.12.12.12.02,258.656328,62.4,72.3,9.9
GW220.50.12.12.12.02,266.102592,34.7,44.7,10
GW151.12.12.12.02,250.563888,86,96,10
GW084.56.11.28.12.02,295.16832,22.8,27.8,5
GW921.86.1.28.13.02,285.228792,18,48,30
GW066.71.2.20.13.02,285.835344,20.8,22.8,2
GW773.35.2.4.13.02,277.206456,46.3,56.2,9.9
GW714.34.2.12.13.02,226.2378,115.1,145,29.9
GW271.66.2.18.13.02,298.685712,23.7,29.4,5.7
GW715.65.2.12.13.02,254.224536,33.1,43.1,10
GW782.72.2.18.13.02,278.748744,25,34.9,9.9
GW621.21.12.17.12.02,271.400016,24.8,40.5,15.7
GW775.88.1.29.13.02,267.745464,48.1,58,9.9
GW314.97.2.19.13.02,286.26816,103,113,10
GW198.41.2.11.13.02,286.524192,16.5,26.5,10
GW763.23.1.22.13.02,259.546344,54.9,64.8,9.9
GW056.87.1.8.13.02,266.30376,8.1,18.1,10
GW761.29.1.28.13.02,291.010848,5.15,15.15,10
GW089.62.1.7.13.02,286.048704,23,25,2
GW685.6.1.8.13.02,236.518704,88.3,138.3,50
GW765.77.1.11.13.02,290.148264,48.6,58.6,10
GW737.12.12.12.02,266.12088,79.4,89.4,10
GW057.10.1.8.13.02,253.86792,53.2,55.2,2
GW223.39.1.8.13.02,251.146056,80,90,10
GW60.1A.60.2.4.13.02,276.938232,18.2,23.2,5
GW283.43.1.29.13.02,282.464256,5,20,15
GW098.57.1.22.13.02,258.9276,82.4,103.4,21
GW148.12.17.12.02,273.231864,5.6,10.6,5
GW694.33.12.3.12.02,231.596184,153,204.5,51.5
GW162.37.2.19.13.02,283.329888,92,125,33
GW086.25.12.3.12.02,290.29152,24.6,29.6,5
GW736.14.12.3.12.02,262.17372,92.4,102.4,10
GW531.83.11.28.12.02,296.216832,22.5,38.2,15.7
FW301.81.2.20.13.02,252.136656,6.7,21.9,15.2
GW803.31.1.23.13.02,280.748232,13.2,23.2,10
GW384.12.17.12.02,262.176768,35.5,55.7,20.2
GW199.42.1.28.13.02,285.920688,17.5,22.5,5
GW704.5.12.17.12.02,210.842352,244.5,256,11.5
GW764.23.1.11.13.02,298.816776,21.2,31.5,10.3
GW085.58.12.3.12.02,281.4828,53.8,58.8,5
GW641.30.1.23.13.02,282.004008,13.6,24,10.4
GW929.2.11.13.02,312.365136,18,28,10
GW706.96.12.17.12.02,230.575104,156.1,182.5,26.4
GW636.32.1.28.13.02,253.084584,98.5,117,18.5
GW115.2.11.26.12.02,306.299616,42,52,10
GW107.91.12.11.12.02,300.34992,8.5,12.5,4
GW350.74.2.12.13.02,290.35248,33.4,43.4,10
GW190.22.12.11.12.02,308.561232,9.8,25.9,16.1
GW127.16.11.26.12.02,299.578776,18.8,22.8,4
FW511.61.11.26.12.02,300.775116,17.44,22.31,4.87
GW804.13.2.11.13.02,280.635456,13.5,23.5,10
GW363.94.1.22.13.02,272.158968,50,75,25
GW345.51.11.27.12.02,296.853864,16,26,10
GW658.63.1.23.13.02,282.927552,8.8,18.8,10
GW385.80.2.18.13.02,230.023416,123.7,178.7,55
GW705.9.2.21.13.02,199.022208,237,307,70
GW639.90.1.23.13.02,252.215904,95.5,125.5,30
DP16D.67.11.27.12.02,298.394628,17.32,22.15,4.83
GW228.12.2.4.13.02,260.25348,80,100,20
GW755.69.1.8.13.02,265.925808,50,59.9,9.9
GW122.78.11.14.12.02,270.40332,92,142,50
FW233.17.2.99.11.28.12.02,299.5262833,15.46,17.27,1.81
GW779.8.2.18.13.02,275.185632,52.1,62,9.9
GW631.98.12.11.12.02,303.00168,5,15,10
FW215.84.11.27..12.02,299.571156,13.83,18.62,4.79
TPB16.81.11.28.12.02,299.898816,13.29,15.29,2
GW105.12.11.12.02,304.86096,12.1,16.1,4
GW925.68.1.28.13.02,258.055872,97,147,50
FW602.2.26.2.11.28.12.02,291.428424,21.1,25.9,4.8
FW510.26.11.26.12.02,300.04512,20.87,25.75,4.88
GW123.93.11.14.12.02,139.424664,522,572,50
GW125.85.2.20.13.02,145.240248,502,552,50
GW537.24.11.26.12.02,292.300152,8,23,15
FW109.40.92.11.14.12.02,295.7576234,37,39.83,2.83
GW101.11.13.12.02,301.99584,12.3,16.3,4
FW603.55.12.3.12.02,289.4338738,28.4166,32.791,4.3744
FW410.28.46.11.13.12.02,298.242228,23.69,27.52,3.83
FW021.46.11.27.12.02,300.229524,17.23,22,4.77
GW346.47.11.27.12.02,285.134304,54.6,64.6,10
PTMW02.4.12.11.12.02,290.434776,34.7,44.7,10
FW106.11.13.12.02,295.044876,35.25,45,9.75
GW526.15.11.27.12.02,269.242032,101,123,22
GW754.40.1.7.13.02,276.356064,14,23.9,9.9
FW104.67.11.14.12.02,294.7394664,38.11,44.44,6.33
GW246.1.11.26.12.02,288.194496,46.5,74.6,28.1
GW247.7.11.14.12.02,288.288984,46.9,74.9,28
