SampleID,splane_eas,splane_nor
GW654.0.1.7.13.02,753106.1518,182111.4418
FW303.11.2.20.13.02,750103.867,179660.5489
GW800.12.12.12.02,754966.2398,182830.5898
GW683.53.2.18.13.02,753413.7688,181483.4006
GW533.48.11.28.12.02,754991.1084,183403.5503
GW750.28.12.12.12.02,759105.8288,185725.9457
GW220.50.12.12.12.02,758957.8715,185612.8678
GW151.12.12.12.02,758958.0461,185616.3383
GW084.56.11.28.12.02,754835.5423,183287.6197
GW921.86.1.28.13.02,754447.0751,182976.2574
GW066.71.2.20.13.02,754977.2885,183036.1573
GW773.35.2.4.13.02,758087.2122,185349.3216
GW714.34.2.12.13.02,752111.7072,180623.8742
GW271.66.2.18.13.02,755954.1562,184062.747
GW715.65.2.12.13.02,752115.6784,180627.7778
GW782.72.2.18.13.02,757293.8773,184734.3684
GW621.21.12.17.12.02,754153.1633,182276.8962
GW775.88.1.29.13.02,758165.5216,185178.4787
GW314.97.2.19.13.02,755854.8121,183615.3545
GW198.41.2.11.13.02,758255.4702,185681.4235
GW763.23.1.22.13.02,758677.4976,185479.1525
GW056.87.1.8.13.02,753296.7447,181560.0442
GW761.29.1.28.13.02,757746.3138,185205.204
GW089.62.1.7.13.02,753414.7528,182467.085
GW685.6.1.8.13.02,753320.2644,181561.405
GW765.77.1.11.13.02,757160.9847,185127.4678
GW737.12.12.12.02,755056.3617,183036.5012
GW057.10.1.8.13.02,753297.5687,181557.2728
GW223.39.1.8.13.02,758731.5942,185450.3663
GW60.1A.60.2.4.13.02,757904.5522,184978.4052
GW283.43.1.29.13.02,758291.3127,185377.2656
GW098.57.1.22.13.02,754559.1224,182720.5854
GW148.12.17.12.02,758811.7844,185604.7217
GW694.33.12.3.12.02,754149.5063,182207.9169
GW162.37.2.19.13.02,753612.0329,182756.5189
GW086.25.12.3.12.02,754984.9535,183220.3377
GW736.14.12.3.12.02,755065.0995,183048.407
GW531.83.11.28.12.02,754976.5509,183385.1148
FW301.81.2.20.13.02,750112.8503,179652.8909
GW803.31.1.23.13.02,758350.0382,185414.1733
GW384.12.17.12.02,758737.6209,185557.8955
GW199.42.1.28.13.02,758285.0342,185638.1304
GW704.5.12.17.12.02,754159.9351,182215.1805
GW764.23.1.11.13.02,757155.8277,185124.2854
GW085.58.12.3.12.02,754986.8758,183225.0318
GW641.30.1.23.13.02,754091.7603,182480.3565
GW929.2.11.13.02,756479.0297,184910.5635
GW706.96.12.17.12.02,754144.312,182242.094
GW636.32.1.28.13.02,754417.4157,182632.654
GW115.2.11.26.12.02,755705.3268,184126.25
GW107.91.12.11.12.02,756009.0554,183969.2717
GW350.74.2.12.13.02,756161.4597,183958.35
GW190.22.12.11.12.02,755899.4073,184151.6288
GW127.16.11.26.12.02,755705.2087,183670.9912
FW511.61.11.26.12.02,755826.2964,183905.7798
GW804.13.2.11.13.02,758323.553,185395.4087
GW363.94.1.22.13.02,754448.3234,182832.5143
GW345.51.11.27.12.02,755392.1192,183518.4354
GW658.63.1.23.13.02,758318.384,185421.6049
GW385.80.2.18.13.02,758737.9958,185555.3566
GW705.9.2.21.13.02,754137.7349,182236.8162
GW639.90.1.23.13.02,754104.4364,182467.0537
DP16D.67.11.27.12.02,755593.9097,183568.6413
GW228.12.2.4.13.02,754815.9643,182795.8502
GW755.69.1.8.13.02,758499.3329,185758.6105
GW122.78.11.14.12.02,755718.9425,183640.054
FW233.17.2.99.11.28.12.02,755589.3482,183595.4898
GW779.8.2.18.13.02,757491.7752,185061.5758
GW631.98.12.11.12.02,755972.3494,183989.2497
FW215.84.11.27..12.02,755589.4778,183592.4165
TPB16.81.11.28.12.02,755592.7643,183584.4656
GW105.12.11.12.02,755857.0247,183988.2157
GW925.68.1.28.13.02,754444.5934,182974.1108
FW602.2.26.2.11.28.12.02,755213.2228,183400.5936
FW510.26.11.26.12.02,755821.9512,183914.9605
GW123.93.11.14.12.02,755715.6992,183638.0439
GW125.85.2.20.13.02,755835.6231,183686.4322
GW537.24.11.26.12.02,755097.5152,183322.5802
FW109.40.92.11.14.12.02,755689.4566,183778.2738
GW101.11.13.12.02,755640.8619,183771.4094
FW603.55.12.3.12.02,755226.3283,183373.6852
FW410.28.46.11.13.12.02,755655.678,183751.2237
FW021.46.11.27.12.02,755828.0143,183822.0962
GW346.47.11.27.12.02,755392.8707,183519.2963
PTMW02.4.12.11.12.02,755444.5463,183574.0799
FW106.11.13.12.02,755698.0462,183769.9227
GW526.15.11.27.12.02,755393.6516,183520.907
GW754.40.1.7.13.02,758578.0674,185605.6699
FW104.67.11.14.12.02,755690.8613,183776.7775
GW246.1.11.26.12.02,755747.8458,183753.7581
GW247.7.11.14.12.02,755766.3523,183771.3568
