"zOTUID","Domain","Phylum","Class","Order","Family","Genus","Species"
"0baba36dee70742079148527c15884f2","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","Unclassified"
"f84a5455a4f6fb3979f21796cdff4da4","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Unclassified"
"708981d566ff0b38d94d4b62d76ee5f8","Bacteria","RCP2-54","RCP2-54","RCP2-54","RCP2-54","RCP2-54","Unclassified"
"23b92293104d8caca80665b7c0d2c574","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Unclassified","Unclassified"
"88e4cc092155faba7263b2b0c7e06ba2","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","uncultured_Chlorobi"
"60da644a2b3646cf3be436aca3d3ebd9","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium"
"cc1f9bd255f705071f6248d9f0c7b133","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Unclassified"
"d144715fcfc4330ed5b4d51a50de2024","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans","Unclassified"
"7e4380a22b73ed92157328123e15bec3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Unclassified","Unclassified"
"5da32e051bdda695c26f4cc556c3aede","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosarchaeum","uncultured_archaeon"
"ad72127c01dac114c005c83404612b5d","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Unclassified"
"d12833fed8673a8d32d1adc368a01538","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","Unclassified"
"5e11294df3e6448f7176d272d9775bfe","Bacteria","WPS-2","WPS-2","WPS-2","WPS-2","WPS-2","uncultured_bacterium"
"8be35591ae1aac7d790061ebabb1b040","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"81451e6aef7196a03a962ca425361a6f","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Chujaibacter","Unclassified"
"6cabfd47e07d16fac96f66d948d51a5d","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1","uncultured_bacterium"
"4608fae4bbc9964cdd17af8782f2155e","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
